name,State,frequency,state_percentage
Aarvi,NC,5,5e-05
Aarvi,NJ,41,0.00045
Aarvi,OH,5,3e-05
Aarvi,TX,27,0.00011
Aarvik,CA,7,2e-05
Aarvik,NJ,5,5e-05
Aarvik,TX,5,2e-05
Aarya,CA,494,0.00149
Aarya,CO,12,0.0003
Aarya,CT,11,0.0003
Aarya,FL,109,0.00097
Aarya,GA,126,0.00136
Aarya,IL,139,0.00085
Aarya,IN,5,6e-05
Aarya,MA,96,0.00118
Aarya,MD,34,0.00068
Aarya,MI,42,0.00033
Aarya,MO,11,0.00015
Aarya,NC,66,0.00069
Aarya,NJ,282,0.00308
Aarya,NY,192,0.00075
Aarya,OH,88,0.00057
Aarya,OR,5,0.00017
Aarya,PA,115,0.00064
Aarya,SC,6,0.00012
Aarya,TN,29,0.00041
Aarya,TX,317,0.00126
Aarya,VA,95,0.00126
Aarya,WA,80,0.0015
Aarya,WI,18,0.00027
Aaryan,CA,357,0.00108
Aaryan,CO,5,0.00013
Aaryan,FL,27,0.00024
Aaryan,GA,42,0.00045
Aaryan,IL,101,0.00062
Aaryan,MA,12,0.00015
Aaryan,MI,10,8e-05
Aaryan,NC,24,0.00025
Aaryan,NJ,202,0.0022
Aaryan,NY,134,0.00052
Aaryan,OH,22,0.00014
Aaryan,PA,28,0.00016
Aaryan,TX,222,0.00088
Aaryan,VA,56,0.00074
Aaryan,WA,34,0.00064
Aaryav,CA,22,7e-05
Aaryav,NJ,10,0.00011
Aaryav,TX,6,2e-05
Aaryn,CA,71,0.00021
Aaryn,GA,22,0.00024
Aaryn,IL,5,3e-05
Aaryn,MD,10,0.0002
Aaryn,MO,5,7e-05
Aaryn,NC,16,0.00017
Aaryn,NY,5,2e-05
Aaryn,OH,10,7e-05
Aaryn,PA,6,3e-05
Aaryn,TX,98,0.00039
Aaryn,VA,11,0.00015
Aasha,CA,5,2e-05
Aashi,CA,83,0.00025
Aashi,IL,21,0.00013
Aashi,NC,5,5e-05
Aashi,NJ,65,0.00071
Aashi,NY,5,2e-05
Aashi,TX,31,0.00012
Aashir,PA,11,6e-05
Aashna,CA,121,0.00037
Aashna,IL,12,7e-05
Aashna,NJ,29,0.00032
Aashna,TX,18,7e-05
Aashritha,CA,5,2e-05
Aashvi,CA,158,0.00048
Aashvi,FL,16,0.00014
Aashvi,GA,7,8e-05
Aashvi,IL,32,0.0002
Aashvi,MA,17,0.00021
Aashvi,MI,6,5e-05
Aashvi,NC,43,0.00045
Aashvi,NJ,70,0.00076
Aashvi,NY,8,3e-05
Aashvi,PA,7,4e-05
Aashvi,TX,94,0.00037
Aashvi,VA,19,0.00025
Aashvi,WA,39,0.00073
Aasia,MS,5,0.00012
Aasim,DC,5,0.00033
Aasim,NJ,32,0.00035
Aasim,NY,31,0.00012
Aasim,OH,5,3e-05
Aasim,PA,71,0.0004
Aasir,CA,6,2e-05
Aasir,GA,11,0.00012
Aasir,NC,7,7e-05
Aasir,NJ,10,0.00011
Aasir,NY,6,2e-05
Aasir,OH,5,3e-05
Aasir,PA,83,0.00047
Aasiya,IL,7,4e-05
Aasiyah,NJ,15,0.00016
Aasiyah,NY,13,5e-05
Aasiyah,PA,138,0.00077
Aasiyah,TX,5,2e-05
Aastha,CA,30,9e-05
Aastha,NJ,31,0.00034
Aava,TX,5,2e-05
Aavir,CA,5,2e-05
Aavya,CA,142,0.00043
Aavya,FL,10,9e-05
Aavya,GA,10,0.00011
Aavya,IL,17,0.0001
Aavya,MA,19,0.00023
Aavya,NC,12,0.00013
Aavya,NJ,48,0.00052
Aavya,NY,20,8e-05
Aavya,OH,19,0.00012
Aavya,PA,14,8e-05
Aavya,TX,83,0.00033
Aavya,VA,17,0.00023
Aavya,WA,17,0.00032
Aavyan,OH,12,8e-05
Aavyan,PA,7,4e-05
Aavyan,TX,16,6e-05
Aayan,CA,297,0.0009
Aayan,CO,5,0.00013
Aayan,CT,5,0.00014
Aayan,FL,88,0.00078
Aayan,GA,71,0.00077
Aayan,IL,116,0.00071
Aayan,MA,31,0.00038
Aayan,MD,53,0.00106
Aayan,MI,11,9e-05
Aayan,NC,54,0.00057
Aayan,NJ,173,0.00189
Aayan,NY,376,0.00146
Aayan,OH,72,0.00047
Aayan,PA,129,0.00072
Aayan,TN,7,0.0001
