sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
M,2010,Uriah,8,HI,180,0.167,312,0.1
M,2010,Urijah,8,HI,180,0.167,312,0.1
M,2011,Urijah,12,HI,118,0.25,198,0.147
M,2011,Uriah,5,HI,270,0.104,514,0.061
M,2012,Uriah,9,HI,158,0.193,278,0.112
M,2012,Urijah,8,HI,174,0.171,313,0.099
M,2013,Uriah,6,HI,241,0.124,412,0.074
M,2014,Urijah,8,HI,185,0.169,318,0.101
M,2015,Uriah,10,HI,134,0.222,239,0.126
M,2015,Urijah,6,HI,234,0.133,421,0.076
M,2016,Urijah,7,HI,208,0.152,366,0.091
M,2017,Uriah,10,HI,131,0.236,216,0.14
M,2023,Uriah,5,HI,211,0.164,387,0.094
M,2024,Uriah,5,HI,213,0.176,386,0.099
F,1923,Una,5,IA,387,0.023,700,0.012
F,1924,Una,6,IA,353,0.027,648,0.014
F,1995,Unkown,10,IA,240,0.071,464,0.033
F,1996,Unkown,9,IA,288,0.063,558,0.029
F,1997,Unkown,8,IA,308,0.058,585,0.027
F,1998,Unkown,8,IA,326,0.057,617,0.026
F,1999,Unknown,8,IA,335,0.058,620,0.026
F,1999,Unkown,6,IA,399,0.044,760,0.02
F,2000,Unknown,19,IA,173,0.134,352,0.062
F,2001,Unknown,10,IA,281,0.073,544,0.034
F,2002,Unknown,5,IA,480,0.037,904,0.017
F,2003,Unknown,6,IA,441,0.044,826,0.02
M,1913,Urban,5,IA,235,0.055,507,0.025
M,1916,Urban,6,IA,289,0.033,642,0.015
M,1919,Urban,7,IA,267,0.038,580,0.018
M,1920,Urban,6,IA,308,0.029,662,0.014
M,1922,Urban,5,IA,321,0.024,713,0.012
M,1923,Urban,11,IA,220,0.053,456,0.026
M,1924,Urban,6,IA,296,0.029,648,0.014
M,1995,Unkown,13,IA,189,0.08,398,0.043
M,1996,Unkown,7,IA,303,0.042,643,0.023
M,1997,Unkown,9,IA,262,0.055,545,0.03
M,1998,Unkown,14,IA,203,0.086,407,0.046
M,1999,Unknown,6,IA,362,0.036,760,0.02
M,1999,Unkown,6,IA,362,0.036,760,0.02
M,2000,Unknown,21,IA,172,0.126,326,0.068
M,2002,Unknown,8,IA,320,0.049,662,0.027
M,2002,Uriel,6,IA,381,0.037,815,0.02
M,2004,Unknown,5,IA,444,0.031,960,0.017
M,2007,Uriel,5,IA,483,0.03,1037,0.016
M,2010,Ulises,6,IA,444,0.039,931,0.021
M,2010,Uriah,6,IA,444,0.039,931,0.021
M,2011,Urijah,7,IA,397,0.047,816,0.025
M,2011,Uriah,6,IA,436,0.04,902,0.022
M,2012,Uriah,6,IA,468,0.04,955,0.022
M,2013,Uriah,10,IA,330,0.066,651,0.036
M,2014,Uriah,8,IA,415,0.051,808,0.028
M,2014,Urijah,5,IA,544,0.032,1114,0.017
M,2015,Uriah,6,IA,505,0.038,1024,0.021
M,2016,Uriah,9,IA,377,0.059,739,0.032
M,2018,Uriah,7,IA,441,0.049,881,0.026
M,2019,Uriah,6,IA,487,0.042,986,0.023
M,2019,Uriel,6,IA,487,0.042,986,0.023
M,2020,Uriah,6,IA,495,0.044,968,0.024
M,2022,Uriah,6,IA,522,0.043,1020,0.024
M,2024,Uriel,10,IA,363,0.073,669,0.04
M,2024,Uriah,6,IA,503,0.044,1009,0.024
F,1946,Unknown,6,CO,282,0.047,520,0.023
